id,net,batch,partition,opt,dropout,format,train_start,train_end,train_time,train_state,eval_state,test_start,test_end,test_state,loss,best_loss,accuracy,best_accuracy,f1_score,best_f1_score,miou,best_miou,precision,best_precision,recall,best_recall,eval_loss,best_eval_loss,eval_accuracy,best_eval_accuracy,eval_f1_score,best_eval_f1_score,eval_miou,best_eval_miou,eval_precision,best_eval_precision,eval_recall,best_eval_recall,test_loss,test_accuracy,test_f1_score,test_miou,test_precision,test_recall,machine
142,unet,4,801010,rmsprop,0,hist,08/03/2021 02:27:09,08/03/2021 06:54:02,4:26:53,done,done,08/03/2021 06:54:13,08/03/2021 06:54:38,done,"0,063537","0,063537","0,978729","0,978729","0,922361","0,978892","0,598074","0,598074","0,933323","0,933323","0,911654","0,911654","0,044337","0,043863","0,907480","0,909295","0,923060","0,909497","0,599680","0,599680","0,933907","0,933907","0,912463","0,912463","0,227505","0,922378","0,923037","0,599666","0,933857","0,912465",fbro-005
143,unet,4,801010,rmsprop,0,hist,03/03/2021 04:49:29,03/03/2021 07:32:24,2:42:55,done,done,03/03/2021 07:32:35,03/03/2021 07:32:55,done,"0,048397","0,048397","0,983304","0,983304","0,925154","0,983473","0,605776","0,605776","0,935872","0,935872","0,914679","0,914679","0,065212","0,046207","0,907384","0,911986","0,925879","0,912200","0,607467","0,607467","0,936482","0,936482","0,915513","0,915513","0,056738","0,937484","0,925876","0,607503","0,936454","0,915534",FINOS-00
144,unet,4,801010,rmsprop,0,hist,02/03/2021 19:48:28,02/03/2021 22:41:03,2:52:35,done,done,02/03/2021 22:41:07,02/03/2021 22:41:27,done,"0,043202","0,043202","0,984777","0,984777","0,925766","0,984940","0,608472","0,608472","0,937258","0,937258","0,914553","0,914553","0,115735","0,066663","0,905542","0,911327","0,926489","0,911492","0,610116","0,610116","0,937857","0,937857","0,915393","0,915393","0,059298","0,926014","0,926464","0,610106","0,937803","0,915395",3947fbe97ea7
145,unet,4,801010,rmsprop,0,hist,03/03/2021 01:56:27,03/03/2021 06:25:11,4:28:44,done,done,03/03/2021 06:25:20,03/03/2021 06:25:50,done,"0,061100","0,061100","0,979508","0,979508","0,925081","0,979650","0,605180","0,605180","0,935334","0,935334","0,915050","0,915050","0,053707","0,046134","0,906738","0,910169","0,925747","0,910375","0,606720","0,606720","0,935894","0,935894","0,915818","0,915818","0,054032","0,925748","0,925720","0,606722","0,935840","0,915816",fbro-005
146,unet,4,801010,rmsprop,0,morf,02/03/2021 16:59:03,02/03/2021 21:26:25,4:27:22,done,done,02/03/2021 21:26:35,02/03/2021 21:27:03,done,"0,058073","0,058073","0,980293","0,980293","0,923449","0,980433","0,602901","0,602901","0,934832","0,934832","0,912340","0,912340","0,057334","0,042582","0,894294","0,909509","0,924138","0,909757","0,604482","0,604482","0,935399","0,935399","0,913144","0,913144","0,053327","0,928179","0,924098","0,604436","0,935333","0,913130",fbro-005
147,unet,4,801010,rmsprop,0,morf,09/03/2021 14:08:48,09/03/2021 16:51:39,2:42:51,done,done,09/03/2021 16:51:50,09/03/2021 16:52:10,done,"0,061557","0,061557","0,978814","0,978814","0,923788","0,979004","0,602793","0,602793","0,934660","0,934660","0,913166","0,913166","0,060117","0,049444","0,905716","0,907162","0,924477","0,907182","0,604348","0,604348","0,935234","0,935234","0,913965","0,913965","0,106958","0,925667","0,924447","0,604259","0,935179","0,913958",FINOS-00
148,unet,4,801010,rmsprop,0,morf,02/03/2021 22:41:30,03/03/2021 01:36:27,2:54:57,done,done,03/03/2021 01:36:33,03/03/2021 01:36:53,done,"0,053258","0,053258","0,981252","0,981252","0,923828","0,981389","0,602341","0,602341","0,935515","0,935515","0,912430","0,912430","0,133220","0,084962","0,898637","0,908027","0,924521","0,907878","0,603907","0,603907","0,936078","0,936078","0,913246","0,913246","0,303047","0,887724","0,924425","0,603628","0,935956","0,913175",3947fbe97ea7
149,unet,4,801010,rmsprop,0,morf,07/03/2021 18:29:54,07/03/2021 21:14:02,2:44:08,done,done,07/03/2021 21:14:13,07/03/2021 21:14:31,done,"0,052496","0,052496","0,981928","0,981928","0,924299","0,982084","0,604687","0,604687","0,934845","0,934845","0,913989","0,913989","0,085481","0,055774","0,907157","0,910848","0,925014","0,911034","0,606287","0,606287","0,935451","0,935451","0,914808","0,914808","0,197905","0,913090","0,924974","0,606245","0,935390","0,914788",FINOS-00
150,unet,4,801010,rmsprop,0,morf,02/03/2021 23:24:23,03/03/2021 02:20:21,2:55:58,done,done,03/03/2021 02:20:30,03/03/2021 02:20:52,done,"0,060439","0,060439","0,979833","0,979833","0,921323","0,979979","0,596049","0,596049","0,931560","0,931560","0,911309","0,911309","0,211746","0,066943","0,885385","0,903526","0,922031","0,903734","0,597644","0,597644","0,932160","0,932160","0,912120","0,912120","0,067925","0,923136","0,921966","0,597565","0,932073","0,912076",da96d9ecd60f
151,unet,4,801010,rmsprop,0.2,hist,03/03/2021 01:36:55,03/03/2021 04:35:04,2:58:09,done,done,03/03/2021 04:35:09,03/03/2021 04:35:29,done,"0,095285","0,093109","0,967295","0,967846","0,909676","0,967969","0,572338","0,572338","0,921710","0,921710","0,897952","0,897952","0,103744","0,080686","0,885168","0,911461","0,910372","0,911270","0,573872","0,573872","0,922281","0,922281","0,898766","0,898766","0,066890","0,930913","0,910369","0,573918","0,922251","0,898789",3947fbe97ea7
152,unet,4,801010,rmsprop,0.2,hist,03/03/2021 02:06:04,03/03/2021 04:48:55,2:42:51,done,done,03/03/2021 04:49:06,03/03/2021 04:49:25,done,"0,098827","0,098827","0,966766","0,966766","0,907699","0,966886","0,567489","0,567489","0,919974","0,919974","0,895747","0,895747","0,057972","0,051785","0,903810","0,911353","0,908456","0,911039","0,569159","0,569159","0,920601","0,920601","0,896627","0,896627","0,102505","0,930353","0,908488","0,569229","0,920608","0,896683",FINOS-00
153,unet,4,801010,rmsprop,0.2,hist,03/03/2021 02:20:55,03/03/2021 05:22:48,3:01:53,done,done,03/03/2021 05:22:55,03/03/2021 05:23:17,done,"0,099912","0,099912","0,966451","0,966451","0,908905","0,966582","0,569945","0,569945","0,920926","0,920926","0,897193","0,897193","0,076904","0,071279","0,887260","0,911843","0,909610","0,911579","0,571527","0,571527","0,921508","0,921508","0,898016","0,898016","0,100210","0,915563","0,909574","0,571518","0,921449","0,898002",da96d9ecd60f
154,unet,4,801010,rmsprop,0.2,hist,03/03/2021 07:32:59,03/03/2021 10:16:13,2:43:14,done,done,03/03/2021 10:16:22,03/03/2021 10:16:41,done,"0,077996","0,077996","0,972869","0,972869","0,905539","0,972983","0,564538","0,564538","0,919259","0,919259","0,892222","0,892222","0,051874","0,051605","0,907716","0,913977","0,906419","0,914177","0,566474","0,566474","0,919989","0,919989","0,893244","0,893244","0,056838","0,931232","0,906469","0,566597","0,920005","0,893326",FINOS-00
155,unet,4,801010,rmsprop,0.2,hist,07/03/2021 23:57:00,08/03/2021 02:51:08,2:54:08,done,done,08/03/2021 02:51:20,08/03/2021 02:51:42,done,"0,076049","0,076049","0,973529","0,973529","0,905824","0,973643","0,564302","0,564302","0,918532","0,918532","0,893462","0,893462","0,116336","0,114756","0,908224","0,909440","0,906700","0,909470","0,566188","0,566188","0,919272","0,919272","0,894467","0,894467","0,090906","0,928735","0,906737","0,566298","0,919280","0,894531",9cd0c605650f
156,unet,4,801010,rmsprop,0.2,morf,03/03/2021 06:25:54,03/03/2021 10:51:15,4:25:21,done,done,03/03/2021 10:51:24,03/03/2021 10:51:52,done,"0,106302","0,106302","0,964632","0,964632","0,905795","0,964756","0,562833","0,562833","0,919152","0,919152","0,892821","0,892821","0,056040","0,054419","0,894485","0,907969","0,906543","0,908124","0,564380","0,564380","0,919755","0,919755","0,893705","0,893705","0,065166","0,928747","0,906552","0,564407","0,919734","0,893743",fbro-005
157,unet,4,801010,rmsprop,0.2,morf,03/03/2021 10:16:45,03/03/2021 12:59:20,2:42:35,done,done,03/03/2021 12:59:30,03/03/2021 12:59:49,done,"0,114876","0,114536","0,963585","0,963585","0,907361","0,963725","0,567081","0,567081","0,920404","0,920404","0,894683","0,894683","0,067035","0,058457","0,905592","0,908654","0,908088","0,908737","0,568720","0,568720","0,920995","0,920995","0,895537","0,895537","0,076405","0,926687","0,908124","0,568777","0,920999","0,895604",FINOS-00
158,unet,4,801010,rmsprop,0.2,morf,08/03/2021 07:27:21,08/03/2021 10:09:04,2:41:43,done,done,08/03/2021 10:09:15,08/03/2021 10:09:32,done,"0,104343","0,104343","0,965453","0,965453","0,905920","0,965591","0,564090","0,564090","0,918943","0,918943","0,893260","0,893260","0,068769","0,053266","0,897745","0,911756","0,906675","0,911932","0,565758","0,565758","0,919562","0,919562","0,894144","0,894144","0,067618","0,908048","0,906677","0,565676","0,919533","0,894176",FINOS-00
159,unet,4,801010,rmsprop,0.2,morf,03/03/2021 12:59:53,03/03/2021 15:43:37,2:43:44,done,done,03/03/2021 15:43:47,03/03/2021 15:44:07,done,"0,095525","0,095525","0,967059","0,967059","0,904204","0,967180","0,559691","0,559691","0,917788","0,917788","0,891016","0,891016","0,220388","0,048858","0,897985","0,909325","0,905001","0,909548","0,561489","0,561489","0,918442","0,918442","0,891948","0,891948","0,057862","0,920074","0,905024","0,561569","0,918429","0,892004",FINOS-00
160,unet,4,801010,rmsprop,0.2,morf,03/03/2021 10:51:56,03/03/2021 15:17:45,4:25:49,done,done,03/03/2021 15:17:59,03/03/2021 15:18:28,done,"0,096136","0,096136","0,970421","0,970421","0,907655","0,970532","0,565563","0,565563","0,920560","0,920560","0,895107","0,895107","0,049321","0,047212","0,906177","0,913304","0,908457","0,912842","0,567312","0,567312","0,921218","0,921218","0,896045","0,896045","0,271105","0,928280","0,908483","0,567373","0,921220","0,896094",fbro-005
